lat,lon,neutron_count
-90,14,151.97733
-90,15,137.74359
-90,16,134.7281
-90,17,158.71672
-90,18,151.58461
-90,19,159.02196
-90,20,151.76839
-90,21,160.10588
-90,22,148.37195
-90,23,144.70357
-90,24,147.156
-90,25,155.88628
-90,26,152.1315
-90,27,159.98901
-90,28,156.3373
-90,29,147.41016
-90,30,159.15805
-90,31,157.00887
-90,32,150.70163
-90,33,159.28993
-90,34,148.45297
-90,35,154.39497
-90,36,155.2185
-90,37,150.4833
-90,38,149.50047
-90,39,149.36227
-90,40,142.96489
-90,41,143.9342
-90,42,155.01794
-90,43,158.1497
-90,44,151.93042
-90,45,152.58151
-90,46,149.99925
-90,47,151.92632
-90,48,150.11435
-90,49,156.46123
-90,50,141.09251
-90,51,149.98955
-90,52,152.26607
-90,53,148.3079
-90,54,151.73454
-90,55,145.72382
-90,56,149.33447
-90,57,154.04196
-90,58,150.66437
-90,59,161.68388
-90,60,144.77635
-90,61,143.53853
-90,62,144.93756
-90,63,152.4736
-90,64,154.42831
-90,65,149.33275
-90,66,142.96323
-90,67,154.38643
-90,68,142.86255
-90,69,150.40457
-90,70,143.64687
-90,71,147.58247
-90,72,150.16743
-90,73,151.73683
-90,74,157.13123
-90,75,147.6781
-90,76,149.46745
-90,77,142.65941
-90,78,143.21585
-90,79,148.88489
-90,80,140.6774
-90,81,153.40707
-90,82,138.79787
-90,83,152.75478
-90,84,150.2585
-90,85,151.4326
-90,86,148.80623
-90,87,166.20232
-90,88,164.92786
-90,89,149.68663
-90,90,159.93106
-90,91,154.17729
-90,92,156.86945
-90,93,149.29857
-90,94,140.65396
-90,95,146.4048
-90,96,157.56886
-90,97,154.13274
-90,98,150.1355
-90,99,157.93236
-90,100,144.85074
-90,101,151.93939
-90,102,149.12616
-90,103,152.1823
-90,104,152.6213
-90,105,151.04498
-90,106,143.36623
-90,107,152.51033
-90,108,151.80476
-90,109,152.10872
-90,110,147.58188
-90,111,152.29218
-90,112,145.11546
-90,113,150.6939
-90,114,148.44592
-90,115,154.84404
-90,116,161.85135
-90,117,139.56543
-90,118,144.81647
-90,119,150.30618
-90,120,159.3938
-90,121,149.62032
-90,122,155.34961
-90,123,152.78955
-90,124,157.3666
-90,125,156.1898
-90,126,152.19719
-90,127,148.88034
-90,128,148.5946
-90,129,155.85602
-90,130,151.35324
-90,131,151.30386
-90,132,156.01999
-90,133,162.18283
-90,134,147.76384
-90,135,147.22212
-90,137,157.8696
-90,138,154.51663
-90,139,157.10365
-90,140,155.65646
-90,141,160.82277
-90,142,139.96086
-90,143,151.47414
-90,144,159.30324
-90,145,150.29901
-90,146,153.49374
-90,147,155.26228
-90,148,152.99402
-90,149,146.05246
-90,150,151.59792
-90,151,152.72139
-90,152,149.69502
-90,153,152.46341
-90,154,149.80109
-90,155,153.02766
-90,156,144.85378
-90,157,154.34398
-90,158,153.59496
-90,159,145.61237
-90,160,159.02312
-90,161,158.83649
-90,162,154.78322
-90,163,147.14288
-90,164,159.43208
-90,165,156.92314
-90,166,150.786
-90,167,158.76375
-90,168,157.73692
-90,169,152.92145
-90,170,149.76904
-90,171,146.89008
-90,172,145.55832
-90,173,154.95216
-90,174,151.80801
-90,175,148.41374
-90,176,148.73914
-90,177,151.47456
-90,178,151.67627
-90,179,151.6473
-90,180,158.4135
-89,-180,146.17143
-89,-179,149.45987
-89,-178,143.58485
-89,-177,148.21783
-89,-176,143.52664
-89,-175,150.48938
-89,-174,152.78287
-89,-173,151.34224
-89,-172,153.38205
-89,-171,150.98962
-89,-170,147.7044
-89,-169,155.10968
-89,-168,154.24887
-89,-167,155.42062
-89,-166,154.07788
-89,-165,155.01712
-89,-164,153.21837
-89,-163,156.2427
-89,-162,154.3631
-89,-161,152.14362
-89,-160,149.4784
-89,-159,152.98465
-89,-158,155.84622
-89,-157,156.4612
-89,-156,154.41408
-89,-155,151.81754
-89,-154,150.8017
-89,-153,155.2762
-89,-152,151.35272
-89,-151,150.39377
-89,-150,154.68147
-89,-149,152.56755
-89,-148,152.17331
-89,-147,153.86218
-89,-146,153.13245
-89,-145,157.15636
-89,-144,152.40121
-89,-143,152.94829
-89,-142,148.83372
-89,-141,147.83205
-89,-140,150.90437
-89,-139,151.12494
-89,-138,147.91562
-89,-137,149.74222
-89,-136,153.29816
-89,-135,150.05836
-89,-134,152.94368
-89,-133,153.72696
-89,-132,154.98738
-89,-131,150.37724
-89,-130,151.85938
-89,-129,152.28392
-89,-128,150.56654
-89,-127,151.0983
-89,-126,153.23618
-89,-125,153.53352
-89,-124,153.05095
-89,-123,153.39041
-89,-122,153.14447
-89,-121,152.16528
-89,-120,152.76576
-89,-119,151.46475
-89,-118,153.60727
-89,-117,150.53226
-89,-116,151.9617
