lat,lon,day_max,night_min
-89,-103,243.3066,49.0409
-89,-102,238.1746,47.388
-89,-101,237.765,46.4889
-89,-100,242.1974,46.8441
-89,-99,241.8866,44.7347
-89,-98,232.3593,44.2622
-89,-97,232.0252,43.6896
-89,-96,226.1193,42.9019
-89,-95,230.7241,45.9947
-89,-94,225.2364,45.9314
-89,-93,222.159,43.6981
-89,-92,226.0598,44.7
-89,-91,224.6704,43.2226
-89,-90,223.6221,43.4469
-89,-89,223.2851,45.4327
-89,-88,220.2218,45.9475
-89,-87,221.2252,44.8547
-89,-86,222.8366,46.1735
-89,-85,226.5952,45.201
-89,-84,226.5911,45.3001
-89,-83,228.2862,42.902
-89,-82,226.5259,43.3488
-89,-81,223.1463,41.6187
-89,-80,224.669,43.5666
-89,-79,234.0364,44.1501
-89,-78,245.8764,45.2482
-89,-77,252.4798,45.7882
-89,-76,258.1996,45.4641
-89,-75,259.5164,44.8928
-89,-74,250.852,45.92
-89,-73,271.7062,46.6949
-89,-72,282.6121,45.6889
-89,-71,285.2269,45.7015
-89,-70,286.1901,44.6338
-89,-69,277.1352,46.6455
-89,-68,247.7311,48.5515
-89,-67,238.8906,49.7974
-89,-66,238.6817,50.5606
-89,-65,234.1271,50.8902
-89,-64,232.3519,51.1978
-89,-63,233.2766,51.5617
-89,-62,231.6707,51.4325
-89,-61,222.036,50.3434
-89,-60,223.2633,48.4245
-89,-59,217.4202,47.7158
-89,-58,217.8637,45.6293
-89,-57,216.117,42.8552
-89,-56,218.7825,41.8858
-89,-55,219.03,41.508
-89,-54,212.1953,41.2919
-89,-53,202.6153,40.8281
-89,-52,186.911,39.1746
-89,-51,191.6374,39.2367
-89,-50,201.3573,37.0549
-89,-49,192.1541,36.7164
-89,-48,180.5578,36.5201
-89,-47,192.1873,36.6479
-89,-46,203.1921,37.1363
-89,-45,205.4671,36.8109
-89,-44,184.8755,36.9098
-89,-43,173.8298,36.9522
-89,-42,159.1358,36.6433
-89,-41,159.4285,36.2496
-89,-40,175.3339,36.2583
-89,-39,174.7426,36.6455
-89,-38,179.8038,35.5215
-89,-37,187.9052,35.3238
